ANNEE;REG;A21;NB_UL
2014;84;F;68033
2015;28;F;20974
2015;32;G;47624
2016;11;M;179721
2014;84;S;27380
2017;11;L;53776
2017;44;F;34169
2015;52;G;33351
2019;84;M;70038
2019;11;S;41761
2015;44;S;17790
2015;11;Q;74833
2021;75;R;15493
2015;93;Q;49646
2015;11;P;30741
2019;11;R;49682
2018;32;L;17177
2020;93;N;29550
2016;24;L;10007
2019;84;R;20401
2015;94;F;5483
2018;24;G;24596
2017;52;G;33675
2017;52;J;5016
2014;75;R;11180
2021;76;P;21296
2017;84;I;35704
2019;93;F;60757
2015;11;F;81876
2014;24;C;8468
2015;32;I;16150
2021;53;G;33364
2021;53;L;17848
2020;53;R;7556
2014;24;M;10017
2016;27;D;970
2021;11;P;49859
2014;53;G;29768
2019;93;P;18382
2021;75;M;52099
2014;93;I;26623
2021;76;C;27676
2016;84;G;87617
2020;76;F;65946
2017;75;R;12618
2019;44;N;12278
2020;93;Q;60215
2016;84;N;22655
2015;11;G;126751
2021;11;M;257977
2018;11;P;38772
2021;27;M;16492
2016;28;G;30063
2015;53;M;15490
2015;44;R;7981
2015;76;G;69017
2020;76;I;30775
2020;94;L;2302
2016;75;G;67688
2018;84;L;45531
2016;28;C;9564
2017;76;F;59426
2018;27;F;19889
2019;84;N;29067
2018;75;N;19220
2019;93;M;52511
2019;11;G;132628
2020;44;L;21703
2014;93;H;8375
2016;84;M;55180
2019;44;G;54728
2014;44;S;17598
2021;27;S;12430
2014;76;R;12057
2016;84;F;68944
2015;44;C;17216
2018;32;H;8042
2015;28;N;6764
2021;24;L;10877
2016;76;G;69935
2018;32;G;48595
2014;28;Q;16312
2020;28;C;10981
2019;11;H;68013
2019;28;G;31413
2016;52;Q;23104
2014;84;L;41812
2016;24;I;7929
2014;44;R;7798
2014;53;L;16328
2017;76;R;13275
2020;53;D;1802
2014;76;Q;48608
2014;32;F;30715
2020;75;F;58976
2020;76;P;19287
2021;52;L;20962
2014;52;R;6242
2019;75;R;14299
2018;24;C;8637
2016;76;C;21299
2019;44;K;13557
2016;76;Q;53015
2020;52;F;26988
2017;75;G;67896
2017;84;N;23843
2014;84;P;24464
2017;94;C;1721
2016;75;I;25045
2014;44;D;2222
2017;11;C;29458
2017;75;S;24775
2015;76;C;21042
2018;76;L;31392
2020;84;C;36759
2017;76;I;28015
2020;24;G;25325
2014;84;N;20858
2014;11;G;125341
2021;84;L;51209
2017;11;F;82486
2021;93;S;32886
2016;93;N;21517
2021;11;L;65704
2021;75;Q;57688
2014;93;N;19677
2019;28;M;16456
2017;52;F;24623
2016;44;G;52406
2017;27;I;9912
2017;32;H;7084
2014;11;J;56719
2017;24;F;17724
2020;27;R;5426
2018;28;G;30726
2018;76;R;14145
2015;27;F;19485
2020;24;L;10463
2014;75;P;10395
2021;52;G;37578
2017;53;M;16838
2016;11;F;81905
2018;11;M;208435
2015;28;P;4549
2018;24;M;12016
2015;32;L;16761
2018;52;L;18581
2018;52;S;13071
2020;76;M;49895
2014;75;N;14989
2014;53;P;4939
2019;93;Q;58561
2020;84;L;48536
2019;75;G;71673
2017;11;H;48394
2014;52;F;24741
2021;52;S;17290
2020;84;P;33196
2015;53;G;30236
2020;24;M;13652
2016;84;R;17032
2017;11;S;36156
2016;32;K;11166
2016;76;M;37852
2014;84;C;32077
2015;11;S;35069
2014;52;N;7742
2021;75;F;62791
2015;11;R;43112
2016;84;Q;59454
2017;75;L;32550
2016;75;P;11862
2015;24;R;4198
2014;93;P;14016
2017;76;K;13657
2021;27;F;22264
2020;75;P;15823
2019;76;G;73637
2015;44;Q;33369
2018;27;S;9749
2019;24;J;3304
2021;76;N;26479
2015;44;L;21044
2017;32;F;31188
2014;44;G;51294
2019;76;S;28304
2016;93;S;22972
2016;44;M;25137
2018;32;C;14414
2015;28;M;13331
2016;52;L;17844
2021;84;F;84557
2016;93;Q;51472
2018;76;S;26161
2015;44;M;24481
2021;44;F;40759
2015;32;C;13999
2016;27;C;10639
2014;24;H;2618
2017;28;N;7244
2018;84;F;72534
2020;44;S;21799
2020;75;S;30970
2018;84;I;36877
2015;93;G;69975
2019;32;C;15191
2018;11;I;47510
2021;11;N;62069
2021;24;M;15179
2017;75;Q;47856
2017;44;D;2910
2016;53;G;30383
2021;76;G;78566
