business_failure_code_bq;region_name;period_scope;sector_name;business_failure_code;business_failure_description
DIREN_M_DOM_DE_UL_DF_03_N_MN_TT;Départements d'Outre-Mer;12 mois;Soutien aux entreprises;DIREN.M.DOM.DE.UL.DF.03.N.MN.TT;Départements d'Outre-Mer - Nb de défaillances d'entreprises cumulé sur 12 mois - Soutien aux entreprises - Brut
DIREN_M_DOM_DE_UL_DF_03_N_PS_TT;Départements d'Outre-Mer;12 mois;Enseign., santé, act. soc. et services aux ménages;DIREN.M.DOM.DE.UL.DF.03.N.PS.TT;Départements d'Outre-Mer - Nb de défaillances d'entreprises cumulé sur 12 mois - Enseign., santé, act. soc. et services aux ménages - Brut
DIREN_M_DOM_DE_UL_DF_03_N_ZZ_TT;Départements d'Outre-Mer;12 mois;Tous secteurs;DIREN.M.DOM.DE.UL.DF.03.N.ZZ.TT;Départements d'Outre-Mer - Nb de défaillances d'entreprises cumulé sur 12 mois - Tous secteurs - Brut
DIREN_M_FR_DE_UL_DF_02_Y_AZ_TT;France;mois;Agriculture, sylviculture et pêche;DIREN.M.FR.DE.UL.DF.02.Y.AZ.TT;France - Nb de défaillances d'entreprises cumulé sur le mois - Agriculture, sylviculture et pêche - CVS/CJO
DIREN_M_FR_DE_UL_DF_02_Y_BE_TT;France;mois;Industrie;DIREN.M.FR.DE.UL.DF.02.Y.BE.TT;France - Nb de défaillances d'entreprises cumulé sur le mois - Industrie - CVS/CJO
DIREN_M_FR_DE_UL_DF_02_Y_FZ_TT;France;mois;Construction;DIREN.M.FR.DE.UL.DF.02.Y.FZ.TT;France - Nb de défaillances d'entreprises cumulé sur le mois - Construction - CVS/CJO
DIREN_M_FR_DE_UL_DF_02_Y_G_TT;France;mois;Commerce et réparation automobile;DIREN.M.FR.DE.UL.DF.02.Y.G.TT;France - Nb de défaillances d'entreprises cumulé sur le mois - Commerce et réparation automobile - CVS/CJO
DIREN_M_FR_DE_UL_DF_02_Y_H_TT;France;mois;Transports et entreposage;DIREN.M.FR.DE.UL.DF.02.Y.H.TT;France - Nb de défaillances d'entreprises cumulé sur le mois - Transports et entreposage - CVS/CJO
DIREN_M_FR_DE_UL_DF_02_Y_I_TT;France;mois;Hébergement et restauration;DIREN.M.FR.DE.UL.DF.02.Y.I.TT;France - Nb de défaillances d'entreprises cumulé sur le mois - Hébergement et restauration - CVS/CJO
DIREN_M_FR_DE_UL_DF_02_Y_JZ_TT;France;mois;Information et communication;DIREN.M.FR.DE.UL.DF.02.Y.JZ.TT;France - Nb de défaillances d'entreprises cumulé sur le mois - Information et communication - CVS/CJO
